Seller,Vendor,NameTag,softwareTag,roleTag,stackTag,groupTag,projectTag,aws:cloudformation:stack-idTag,aws:cloudformation:stack-nameTag,aws:cloudformation:logical-idTag,aws:autoscaling:groupNameTag,Hosting TypeCategory,PortfolioAccountGroupValue,ClosingMonthAccountGroupValue,DescriptionAccountGroupValue,ProductAccountGroupValue,Product OwnerAccountGroupValue,AvailabilityZone,ClockSpeed,ContainerClusterName,ContainerNamespace,CurrencyCode,ItemDescription,LeaseType,Location,NormalizedInstanceType,OperatingSystem,Operation,ProductCode,ProductName,ProviderUnitOfMeasure,Region,SavingsPlanOfferingType,SavingsPlanPaymentOption,SavingsPlanPurchaseTerm,TaxType,NormalizedTransactionType,UsageFamily,UsageQuantityUnit,UsageType,VolumeType,AdjustedAmortizedCost,AdjustedCost,AmortizedCostAdjustment,BlendedCost,BlendedRate,Cost,CostAdjustment,CostGbMonths,GrossCost,NetUnblendedCost,NormalizationFactor,NormalizedAmortizedCost,NormalizedUsageAmount,NormalizedUsageQuantity,OnDemandUsageHours,PublicOnDemandCost,Rate,ReservationNetEffectiveCost,SavingsPlanNetEffectiveCost,UnBlendedCost,UnBlendedRate,UsageHours,UsageQuantity
Amazon,Amazon,,,app,perf,api,storefinder,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.00 per GB - EU (Ireland) data transfer from US East (Northern Virginia),On-Demand,EU (Ireland),,,LoadBalancing-PublicIP-In,AWSELB,Elastic Load Balancing,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-USE1-AWS-In-Bytes,,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99E-06,0,0,0,0,0,0,0,0,4.99E-06
Amazon,Amazon,,,,,taf,bdd,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,content-db-test-0.266.0,,,,,,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,On-Demand,EU (Ireland),,,Not Applicable,AmazonRDS,Amazon Relational Database Service,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-DataTransfer-Out-Bytes,,5.03E-06,5.03E-06,0,3.62E-06,0.06485865,5.03E-06,0,0,5.03E-06,0,0,5.03E-06,0,5.59E-05,0,5.03E-06,0.09,0,0,5.03E-06,0.09,0,5.59E-05
Amazon,Amazon,product-v3-service-elb preprod 0.33.0,,,,,,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.00 per GB - EU (Ireland) data transfer from EU (Paris),On-Demand,EU (Ireland),,,LoadBalancing-PublicIP-In,AWSELB,Elastic Load Balancing,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-EUW3-AWS-In-Bytes,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31E-06,0,0,0,0,0,0,0,0,1.31E-06
Amazon,Amazon,,,,,,,,,,,PaaS,Food,,Quantum Development VMs,,Andrew Goslin,,,,,USD,$0.03 per 10000 KMS requests in US East (Ohio),On-Demand,US East (Ohio),,,DescribeCustomKeyStores,awskms,AWS Key Management Service,Requests,us-east-2,,,,,Usage,API Request,Requests,us-east-2-KMS-Requests,,1.80E-05,1.80E-05,0,1.80E-05,3.00E-06,1.80E-05,0,0,1.80E-05,0,0,1.80E-05,0,6,0,1.80E-05,3.00E-06,0,0,1.80E-05,3.00E-06,0,6
Amazon,Amazon,,,,,,,,,,,IaaS,DotCom,,Legacy product cache API,API Tribe,,,,,,USD,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Ireland),On-Demand,US East (N. Virginia),,,ListAllMyBuckets,AmazonS3,Amazon Simple Storage Service,GB,us-east-1,,,,,Usage,Data Transfer,BytesTransferred,USE1-EU-AWS-Out-Bytes,,8.36E-08,8.36E-08,0,8.36E-08,0.02,8.36E-08,0,0,8.36E-08,0,0,8.36E-08,0,4.18E-06,0,8.36E-08,0.02,0,0,8.36E-08,0.02,0,4.18E-06
Amazon,Amazon,content-v2-service-elb perf 0.266.0,,,,,,,,,,PaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.02 per GB - EU (Ireland) data transfer to US East (Ohio),On-Demand,EU (Ireland),,,LoadBalancing-PublicIP-Out,AWSELB,Elastic Load Balancing,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-USE2-AWS-Out-Bytes,,1.18E-07,1.18E-07,0,1.18E-07,0.02,1.18E-07,0,0,1.18E-07,0,0,1.18E-07,0,5.88E-06,0,1.18E-07,0.02,0,0,1.18E-07,0.02,0,5.88E-06
Amazon,Amazon,,,,,,,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,IaaS,DotCom,,Legacy product cache API,API Tribe,,,,,,USD,USD0.0 per GB for  in Asia Pacific (Hong Kong),On-Demand,EU (Ireland),,,PutObject,AmazonS3,Amazon Simple Storage Service,GB,eu-west-1,,,,,Usage,IO,BytesTransferred,EU-APE1-AWS-In-Bytes,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-05,0,0,0,0,0,0,0,0,1.60E-05
Amazon,Amazon,engineering-aml-prod-jenkins-slave,,jenkins-slave,prod,engineering,aml,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,Shared Services,,Redundant account for switching between accounts,,,,,,,USD,$0.0000044 per CloudTrail event analyzed in EU (Dublin) region,On-Demand,EU (Ireland),,,none,AmazonGuardDuty,Amazon GuardDuty,Events,eu-west-1,,,,,Usage,Security,Events,EU-PaidEventsAnalyzed,,0.1839552,0.1839552,0,0.1839552,4.40E-06,0.1839552,0,0,0.1839552,0,0,0.1839552,0,41808,0,0.1839552,4.40E-06,0,0,0.1839552,4.40E-06,0,41808
Amazon,Amazon,monitoring perf 0.88.0,,,,,,,,,,IaaS,DotCom,,Dotcom APIs,API Tribe,,,,,,USD,$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier,On-Demand,EU (Ireland),,Linux,RunInstances,AmazonEC2,Amazon Elastic Compute Cloud,GB,eu-west-1,,,,,Usage,Data Transfer,BytesTransferred,EU-DataTransfer-Out-Bytes,,4.15E-05,4.15E-05,0,2.99E-05,0.06485865,4.15E-05,0,0,4.15E-05,0,0,4.15E-05,0,4.61E-04,0,4.15E-05,0.09,0,0,4.15E-05,0.09,0,4.61E-04
Amazon,Amazon,authserver1475065847522-1,,,,,,,,,,IaaS,DotCom,,Dotcom APIs,API Tribe,,eu-west-1b,Up to 3.3 GHz,,,USD,$0.05 per On Demand Linux t2.medium Instance Hour,On-Demand,EU (Ireland),t2.medium,Linux,RunInstances,AmazonEC2,Amazon Elastic Compute Cloud,Hrs,eu-west-1,,,,,Usage,Instance Usage,UsageHours,EU-BoxUsage:t2.medium,,1.2,1.2,0,1.2,0.05,1.2,0,0,1.2,0,48,1.2,48,48,24,1.2,0.05,0,0,1.2,0.05,24,24
Amazon,Amazon,,,,,,,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,loyalty-sit2-app,,,,,,,,,,PaaS,Customer & Loyalty,,Loyalty Services / Sparks,,,,,,,USD,$0.008 per GB Data Processed by the LoadBalancer,On-Demand,EU (Ireland),,,LoadBalancing,AWSELB,Elastic Load Balancing,GB,eu-west-1,,,,,Usage,Load Balancer,Unknown,EU-DataProcessing-Bytes,,1.22E-05,1.22E-05,0,1.22E-05,0.008,1.22E-05,0,0,1.22E-05,0,0,1.22E-05,0,0.001521564,0,1.22E-05,0.008,0,0,1.22E-05,0.008,0,0.001521564
Amazon,Amazon,,,,,,,,,,,IaaS,DotCom,,Legacy product cache API,API Tribe,,,,,,USD,$0.004 per 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,Food,,Quantum Development VMs,,Andrew Goslin,,,,,USD,0.0 per free event recorded in US West (Oregon) region,On-Demand,US West (Oregon),,,None,AWSCloudTrail,AWS CloudTrail,Events,us-west-2,,,,,Usage,Events,Events,USW2-FreeEventsRecorded,,0,0,0,0,0,0,0,0,0,0,0,0,0,1603,0,0,0,0,0,0,0,0,1603
Amazon,Amazon,customerpromise-sppd-dev-app,,app,dev,customerpromise,sppd,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,customerpromise,storecollections,,,,,IaaS,Shared Services,,CI/CD Tools For All AWS Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,Food,,Quantum Development VMs,,Andrew Goslin,,,,,USD,First 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,Amazon,,,,,,,,,,,PaaS,,,,,,,,,,USD,0.0 per free event recorded in EU (London) region,On-Demand,EU (London),,,None,AWSCloudTrail,AWS CloudTrail,Events,eu-west-2,,,,,Usage,Events,Events,EUW2-FreeEventsRecorded,,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,0,0,1176
